warning: Feature js of package getrandom has been obsolete in version 0.4.2
warning: Feature simple of package pbkdf2 has been obsolete in version 0.13.0
Name                                             Project                         Compat   Latest   Kind         Platform
native-tls->security-framework                   3.7.0                           ---      Removed  Normal       cfg(target_vendor = "apple")
native-tls->security-framework-sys               2.17.0                          ---      Removed  Normal       cfg(target_vendor = "apple")
native-tls->tempfile                             3.27.0                          ---      Removed  Development  ---
notify                                           6.1.1                           ---      8.2.0    Normal       cfg(not(target_arch = "wasm32"))
notify->crossbeam-channel                        0.5.15                          ---      Removed  Normal       ---
notify->filetime                                 0.2.27                          ---      Removed  Normal       ---
notify->inotify                                  0.9.6                           ---      0.11.1   Normal       cfg(any(target_os = "linux", target_os = "android"))
notify->libc                                     0.2.185                         0.2.186  0.2.186  Normal       ---
notify->mio                                      0.8.11                          ---      1.2.0    Normal       cfg(any(target_os = "freebsd", target_os = "openbsd", target_os = "netbsd", target_os = "dragonflybsd"))
notify->windows-sys                              0.48.0                          ---      0.60.2   Normal       cfg(windows)
openssl->bitflags                                2.11.1                          ---      Removed  Normal       ---
openssl->cfg-if                                  1.0.4                           ---      Removed  Normal       ---
openssl->foreign-types                           0.3.2                           ---      Removed  Normal       ---
openssl->libc                                    0.2.185                         0.2.186  0.2.186  Normal       ---
openssl->libc                                    0.2.185                         0.2.186  Removed  Normal       ---
openssl->once_cell                               1.21.4                          Removed  Removed  Normal       ---
openssl->openssl-macros                          0.1.1                           ---      Removed  Normal       ---
openssl->openssl-sys                             0.9.114                         0.9.115  0.9.115  Normal       ---
openssl->openssl-sys                             0.9.114                         0.9.115  Removed  Normal       ---
openssl-macros->proc-macro2                      1.0.106                         ---      Removed  Normal       ---
openssl-macros->quote                            1.0.45                          ---      Removed  Normal       ---
openssl-macros->syn                              2.0.117                         ---      Removed  Normal       ---
openssl-sys->cc                                  1.2.60                          1.2.61   1.2.61   Build        ---
openssl-sys->cc                                  1.2.60                          1.2.61   Removed  Build        ---
openssl-sys->libc                                0.2.185                         0.2.186  0.2.186  Normal       ---
openssl-sys->libc                                0.2.185                         0.2.186  Removed  Normal       ---
openssl-sys->pkg-config                          0.3.33                          ---      Removed  Build        ---
openssl-sys->vcpkg                               0.2.15                          ---      Removed  Build        ---
parking_lot->lock_api                            0.4.14                          ---      Removed  Normal       ---
